,DEPTH,VP_FRMB,VS_FRMB,RHO_FRMB,PHIE,VSH,VP_FRMO,VS_FRMO,RHO_FRMO
18541,2343.75,3266.8018,1512.4215,2.2347,0.2524,0.172,3159.9041,1528.5807,2.1877
18542,2343.875,3262.084,1502.4491,2.23,0.2554,0.1702,3156.5068,1518.7905,2.1823
18543,2344.0,3238.7217,1494.2744,2.2247,0.2586,0.1511,3127.1143,1511.1302,2.1754
18544,2344.125,3214.2964,1490.8558,2.2222,0.2602,0.1354,3094.9126,1508.0731,2.1717
18545,2344.25,3196.6418,1483.392,2.221,0.2609,0.1541,3074.8042,1500.2787,2.1713
18546,2344.375,3183.6323,1482.9656,2.2183,0.2627,0.186,3061.4431,1499.4745,2.1697
18547,2344.5,3167.6489,1497.6282,2.2126,0.2662,0.1873,3039.8174,1514.5958,2.1633
18548,2344.625,3147.8162,1515.7301,2.2044,0.2713,0.1755,3011.9033,1533.5602,2.1535
18549,2344.75,3138.3242,1522.7428,2.1965,0.2762,0.1865,3001.6692,1540.9213,2.145
18550,2344.875,3142.885,1518.7167,2.1913,0.2795,0.2155,3012.7607,1536.6552,2.1404
18551,2345.0,3149.8159,1509.9559,2.1885,0.2812,0.2334,3025.7571,1527.6414,2.1381
18552,2345.125,3154.5808,1500.3269,2.1872,0.282,0.2314,3033.7249,1518.0082,2.1366
18553,2345.25,3164.8223,1494.0995,2.1868,0.2822,0.2073,3046.1436,1512.1343,2.135
18554,2345.375,3189.4226,1493.5322,2.1873,0.2819,0.2076,3078.2292,1511.528,2.1356
18555,2345.5,3208.8123,1499.3339,2.1883,0.2813,0.2317,3104.1707,1516.9402,2.1378
18556,2345.625,3197.0361,1508.1051,2.189,0.2809,0.2383,3087.9922,1525.6639,2.1389
18557,2345.75,3164.3293,1513.3441,2.1886,0.2811,0.2066,3041.9004,1531.5226,2.137
18558,2345.875,3141.8738,1512.0468,2.1872,0.282,0.1829,3010.8318,1530.6973,2.1342
18559,2346.0,3140.5945,1494.4026,2.1851,0.2833,0.1747,3011.9299,1513.0941,2.1314
18560,2346.125,3139.1296,1449.249,2.1834,0.2844,0.176,3017.6924,1467.4481,2.1295
18561,2346.25,3148.1687,1409.4688,2.183,0.2846,0.1855,3036.2366,1427.0383,2.1296
18562,2346.375,3175.1758,1410.879,2.1839,0.284,0.1926,3071.3428,1428.3029,2.131
18563,2346.5,3208.4363,1412.2047,2.1854,0.2831,0.1828,3112.8677,1429.7197,2.1322
18564,2346.625,3212.8174,1410.266,2.1869,0.2822,0.1799,3118.1667,1427.726,2.1337
18565,2346.75,3188.9214,1400.454,2.1882,0.2814,0.1841,3088.7502,1417.6571,2.1354
18566,2346.875,3185.7075,1388.9232,2.1895,0.2806,0.1939,3086.5576,1405.7623,2.1374
18567,2347.0,3186.7026,1400.2909,2.1911,0.2796,0.1967,3086.1133,1417.1407,2.1393
18568,2347.125,3184.2988,1429.8556,2.1931,0.2783,0.2041,3078.9944,1446.8357,2.1419
18569,2347.25,3175.8525,1442.2169,2.1956,0.2768,0.2205,3066.9548,1458.9453,2.1455
18570,2347.375,3155.7747,1446.7161,2.1987,0.2749,0.2286,3040.0066,1463.1986,2.1494
18571,2347.5,3120.5188,1446.5453,2.2023,0.2726,0.2377,2993.5508,1462.684,2.154
18572,2347.625,3084.0933,1445.0699,2.2068,0.2698,0.2399,2944.3035,1460.9166,2.1592
18573,2347.75,3053.6106,1456.2076,2.214,0.2653,0.225,2897.3372,1472.0305,2.1667
18574,2347.875,3026.6404,1483.532,2.2285,0.2563,0.1973,2846.1177,1499.3157,2.1819
18575,2348.0,3000.7883,1522.2661,2.2572,0.2384,0.1621,2781.9761,1537.4785,2.2127
18576,2348.125,2975.7708,1527.0139,2.3045,0.2089,0.0996,2699.0815,1540.7688,2.2635
18577,2348.25,3184.563,1699.9781,2.3621,0.1731,0.0423,2904.8538,1713.0189,2.3263
18578,2348.375,3407.821,1881.3778,2.402,0.1482,0.0259,3149.448,1893.709,2.3708
18579,2348.5,3366.2717,1843.9634,2.399,0.1501,0.059,3108.8376,1855.6091,2.369
18580,2348.625,3062.1584,1467.3605,2.3544,0.1779,0.1323,2815.8679,1477.6361,2.3217
18581,2348.75,3080.3401,1456.5178,2.2892,0.2185,0.1827,2897.3181,1469.1243,2.2501
18582,2348.875,3082.9014,1455.12,2.2302,0.2552,0.1894,2927.3352,1470.6437,2.1834
18583,2349.0,3083.3132,1454.2878,2.1953,0.277,0.1604,2937.5044,1472.1522,2.1424
18584,2349.125,3093.0391,1446.5121,2.1833,0.2845,0.1227,2952.4255,1465.5579,2.1269
18585,2349.25,3114.0217,1439.7048,2.1836,0.2843,0.0734,2977.1987,1459.4453,2.1249
18586,2349.375,3143.6648,1446.4193,2.1908,0.2797,0.0483,3011.1348,1466.2545,2.132
18587,2349.5,3169.4897,1467.9589,2.2054,0.2707,0.0495,3037.209,1487.2466,2.1486
18588,2349.625,3178.2712,1484.0035,2.229,0.256,0.0374,3036.4958,1502.3796,2.1748
18589,2349.75,3177.9001,1482.9537,2.2581,0.2379,0.0081,3020.9587,1500.1998,2.2064
18590,2349.875,3176.0439,1481.3864,2.2805,0.2239,0.0,3006.811,1497.546,2.2315
18591,2350.0,3171.0503,1464.3063,2.2861,0.2204,0.0,3000.3425,1479.9873,2.2379
18592,2350.125,3144.9255,1428.8782,2.2745,0.2276,0.0118,2978.0256,1444.5876,2.2253
18593,2350.25,3101.3091,1394.5802,2.2532,0.2409,0.0495,2938.1555,1410.4187,2.2029
18594,2350.375,3072.2424,1378.3861,2.2324,0.2539,0.079,2913.2195,1394.6508,2.1806
18595,2350.5,3045.7273,1373.2216,2.2185,0.2625,0.0812,2883.6636,1390.1034,2.1649
18596,2350.625,3020.2373,1363.6976,2.2131,0.2659,0.1005,2854.5466,1380.4443,2.1598
18597,2350.75,2995.3667,1354.7328,2.2169,0.2635,0.1739,2828.718,1370.0817,2.1675
18598,2350.875,2967.0764,1351.3672,2.2286,0.2562,0.33,2967.0764,1351.3672,2.2286
18599,2351.0,2936.6555,1351.7928,2.2424,0.2476,0.4505,2936.6555,1351.7928,2.2424
18600,2351.125,2927.5693,1354.3956,2.2494,0.2433,0.4686,2927.5693,1354.3956,2.2494
18601,2351.25,2948.8623,1370.5116,2.2461,0.2453,0.479,2948.8623,1370.5116,2.2461
18602,2351.375,2975.9822,1398.6106,2.2365,0.2513,0.414,2975.9822,1398.6106,2.2365
18603,2351.5,3000.405,1408.3757,2.2245,0.2588,0.3397,2844.3479,1421.3872,2.184
18604,2351.625,3012.5176,1394.4163,2.2113,0.267,0.3131,2863.6851,1408.37,2.1677
18605,2351.75,2994.0723,1383.4436,2.1966,0.2761,0.3227,2846.3523,1397.8818,2.1515
18606,2351.875,2976.6863,1376.1343,2.1823,0.2851,0.307,2826.7854,1391.4698,2.1345
18607,2352.0,2980.032,1356.196,2.1719,0.2916,0.2338,2829.9263,1372.9585,2.1192
18608,2352.125,2997.5588,1364.5076,2.1671,0.2945,0.1535,2845.8623,1382.8612,2.11
18609,2352.25,3014.2439,1372.4944,2.1675,0.2943,0.106,2862.5457,1391.6765,2.1081
18610,2352.375,3024.7529,1373.5795,2.1714,0.2919,0.1115,2875.6602,1392.4805,2.1128
18611,2352.5,3035.9907,1373.535,2.1774,0.2881,0.1193,2889.4136,1391.9922,2.12
18612,2352.625,3048.4756,1374.1346,2.1836,0.2843,0.1059,2902.7285,1392.4774,2.1265
18613,2352.75,3053.2378,1374.8787,2.1876,0.2818,0.1039,2907.4343,1393.0497,2.1309
18614,2352.875,3046.5994,1377.2893,2.1884,0.2813,0.0976,2897.2563,1395.549,2.1315
18615,2353.0,3038.6462,1385.0164,2.187,0.2822,0.0939,2885.4028,1403.512,2.1297
18616,2353.125,3041.3337,1407.5026,2.186,0.2827,0.0944,2885.6672,1426.3417,2.1287
18617,2353.25,3047.7971,1431.0673,2.1874,0.2819,0.099,2890.3474,1450.0726,2.1304
18618,2353.375,3054.27,1431.7375,2.1897,0.2805,0.1106,2899.2817,1450.4373,2.1336
18619,2353.5,3058.3416,1432.6774,2.1908,0.2798,0.1197,2905.1121,1451.1852,2.1353
18620,2353.625,3059.2961,1428.9604,2.1902,0.2801,0.1099,2906.3137,1447.6079,2.1341
18621,2353.75,3059.7676,1417.1334,2.1891,0.2808,0.0939,2907.8223,1435.9403,2.1322
18622,2353.875,3060.6689,1410.1724,2.1895,0.2806,0.0808,2908.8508,1429.0724,2.132
18623,2354.0,3061.4836,1414.9926,2.192,0.279,0.0683,2907.0537,1434.0197,2.1342
18624,2354.125,3066.937,1411.3499,2.1947,0.2774,0.0609,2913.3696,1430.2992,2.1369
18625,2354.25,3068.7991,1404.4381,2.1958,0.2767,0.064,2916.9207,1423.1851,2.1383
18626,2354.375,3062.322,1402.1935,2.1951,0.2771,0.063,2908.6887,1420.9648,2.1375
18627,2354.5,3050.4126,1403.2645,2.1928,0.2785,0.0753,2894.3721,1421.9824,2.1354
18628,2354.625,3037.2576,1404.7893,2.1894,0.2807,0.0998,2879.8708,1423.3293,2.1327
18629,2354.75,3033.616,1407.8433,2.1857,0.283,0.1274,2878.4553,1426.1885,2.1298
18630,2354.875,3034.6685,1410.6566,2.1828,0.2847,0.1592,2883.4968,1428.6903,2.1281
18631,2355.0,3038.2891,1415.0464,2.1815,0.2855,0.1741,2889.5107,1432.9716,2.1273
18632,2355.125,3043.2417,1425.3568,2.1815,0.2855,0.1726,2894.3215,1443.4366,2.1272
18633,2355.25,3047.8137,1443.3773,2.1819,0.2853,0.179,2897.9641,1461.5635,2.1279
18634,2355.375,3053.5166,1457.1992,2.1821,0.2852,0.1863,2903.9229,1475.4274,2.1285
18635,2355.5,3057.4788,1459.0953,2.1827,0.2848,0.1675,2906.9202,1477.6229,2.1283
18636,2355.625,3059.7197,1465.387,2.1837,0.2842,0.1283,2904.7129,1484.5774,2.1276
18637,2355.75,3060.635,1470.0432,2.1848,0.2835,0.083,2900.4131,1489.98,2.1267
18638,2355.875,3058.8125,1467.8892,2.1851,0.2833,0.085,2898.4014,1487.7493,2.1271
18639,2356.0,3052.7732,1445.0907,2.1843,0.2838,0.1189,2897.7271,1464.1379,2.1278
18640,2356.125,3046.4346,1415.9216,2.1837,0.2842,0.1469,2896.9856,1434.1748,2.1284
18641,2356.25,3044.6475,1412.7993,2.1852,0.2832,0.1687,2896.6572,1430.5859,2.1312
18642,2356.375,3045.6321,1410.4982,2.1894,0.2806,0.1656,2896.6248,1428.0776,2.1359
18643,2356.5,3045.3398,1409.0992,2.195,0.2772,0.1434,2892.3289,1426.7131,2.1411
18644,2356.625,3040.8005,1411.9469,2.2003,0.2739,0.1108,2880.4075,1429.8209,2.1456
18645,2356.75,3032.4609,1416.4004,2.2048,0.2711,0.0769,2862.8762,1434.62,2.1491
