TWT,DEPTH,VP,VS,RHO,NEAR,FAR,WELL,ID
2.692,2263.414000166718,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0011483990888647992,0.0008932990025402206,W155_X,Z60_Sw025_Por30
2.696,2269.745747844646,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0001966942913754255,0.00015300152707776053,W155_X,Z60_Sw025_Por30
2.7,2275.8463345281207,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.4353461344806404e-05,1.8943695565992026e-05,W155_X,Z60_Sw025_Por30
2.704,2282.302013836455,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.2015639462330638e-06,1.7125186673062932e-06,W155_X,Z60_Sw025_Por30
2.708,2288.7861399616513,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.4627481784331048e-07,1.1378200326277437e-07,W155_X,Z60_Sw025_Por30
2.712,2295.1808431302593,2672.7611458333336,1176.6415925694444,2.1408248611111107,7.175944353559144e-09,5.581913113197523e-09,W155_X,Z60_Sw025_Por30
2.716,2301.4474877962884,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.6080744204216254e-10,2.028728776349271e-10,W155_X,Z60_Sw025_Por30
2.72,2307.746941678408,2672.7611458333336,1176.6415925694444,2.1408248611111107,7.040309417884592e-12,5.476407497664988e-12,W155_X,Z60_Sw025_Por30
2.724,2314.247831517939,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.4143086549485946e-13,1.1001406418725577e-13,W155_X,Z60_Sw025_Por30
2.728,2320.865173242822,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.1176228811245667e-15,1.6472238839329397e-15,W155_X,Z60_Sw025_Por30
2.732,2327.130650260908,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.3661647522929482e-17,1.8405558081368028e-17,W155_X,Z60_Sw025_Por30
2.736,2333.387430681925,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.9750331768479105e-19,1.5363084000755345e-19,W155_X,Z60_Sw025_Por30
2.74,2339.835546781259,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.232542984171918e-21,9.587515603457129e-22,W155_X,Z60_Sw025_Por30
2.744,2346.0629271758166,2672.7611458333336,1176.6415925694444,2.1408248611111107,5.754848867041526e-24,4.4764932352738386e-24,W155_X,Z60_Sw025_Por30
2.748,2352.240678660544,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.0115406674536855e-26,1.564706284800106e-26,W155_X,Z60_Sw025_Por30
2.7520000000000002,2358.343877931682,2672.7611458333336,1176.6415925694444,2.1408248611111107,5.266327171952707e-29,4.096489500358409e-29,W155_X,Z60_Sw025_Por30
