TWT,DEPTH,VP,VS,RHO,NEAR,FAR,WELL,ID
2.7920000000000003,2421.3231136541517,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.7960000000000003,2427.9617405718745,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.8000000000000003,2434.6530029472638,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.8040000000000003,2441.134583475985,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.8080000000000003,2447.8832293758737,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.8120000000000003,2454.127936937657,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.816,2460.574095742971,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.82,2466.402026618473,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.568,2100.8228156485065,2429.4158522836537,1018.3411442307691,2.2555824519230767,-1.215362570734166e-10,-8.058615448267176e-11,W155_5,Z40_Sw025_Por20
2.572,2105.563678603554,2429.4158522836537,1018.3411442307691,2.2555824519230767,-3.8812294113819925e-09,-2.5734983161393188e-09,W155_5,Z40_Sw025_Por20
2.576,2110.18373978967,2429.4158522836537,1018.3411442307691,2.2555824519230767,-9.194981208397289e-08,-6.096848742654988e-08,W155_5,Z40_Sw025_Por20
2.58,2114.912341392281,2429.4158522836537,1018.3411442307691,2.2555824519230767,-1.6113430634302582e-06,-1.0684214255139655e-06,W155_5,Z40_Sw025_Por20
2.584,2119.8148713595515,2429.4158522836537,1018.3411442307691,2.2555824519230767,-2.080550007945746e-05,-1.3795350324659968e-05,W155_5,Z40_Sw025_Por20
2.588,2124.8001251991545,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.00019685166853442666,-0.00013052499189450918,W155_5,Z40_Sw025_Por20
2.592,2129.3459271166366,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.0013538651596380444,-0.000897697439892183,W155_5,Z40_Sw025_Por20
2.596,2133.970657201785,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.006683697145258656,-0.004431710013429229,W155_5,Z40_Sw025_Por20
2.6,2138.736286191246,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.023177852878824793,-0.0153683680539073,W155_5,Z40_Sw025_Por20
