% 'Vsh'	'Por'	'Vp_b'	'Vs_b'	'Rhob_b'	'Vp_o'	'Vs_o'	'Rhob_o'	'Z_TVD'  
   5.0900000e-02   3.1040000e-01   3.0034368e+03   1.5013604e+03   2.1416000e+00   2.8306941e+03   1.5246909e+03   2.0766000e+00   2.1703750e+03
   3.9900000e-02   3.1130000e-01   2.9938069e+03   1.4854545e+03   2.1402000e+00   2.8199165e+03   1.5088489e+03   2.0744000e+00   2.1705000e+03
   4.2000000e-02   3.1490000e-01   2.9846650e+03   1.4750516e+03   2.1345000e+00   2.8116692e+03   1.4985881e+03   2.0679000e+00   2.1706250e+03
   4.4700000e-02   3.2100000e-01   2.9738630e+03   1.4717913e+03   2.1247000e+00   2.8014209e+03   1.4958130e+03   2.0570000e+00   2.1707500e+03
   4.5700000e-02   3.2790000e-01   2.9701438e+03   1.4696882e+03   2.1136000e+00   2.8009014e+03   1.4943401e+03   2.0444000e+00   2.1708750e+03
   4.8300000e-02   3.3300000e-01   2.9765454e+03   1.4633960e+03   2.1054000e+00   2.8137141e+03   1.4883906e+03   2.0353000e+00   2.1710000e+03
   5.1200000e-02   3.3410000e-01   2.9886648e+03   1.4612476e+03   2.1036000e+00   2.8312400e+03   1.4862573e+03   2.0334000e+00   2.1711250e+03
   5.0400000e-02   3.3140000e-01   2.9995300e+03   1.4607964e+03   2.1080000e+00   2.8443635e+03   1.4855454e+03   2.0384000e+00   2.1712500e+03
   4.8800000e-02   3.2640000e-01   3.0057249e+03   1.4474047e+03   2.1160000e+00   2.8520442e+03   1.4714720e+03   2.0474000e+00   2.1713750e+03
   4.5800000e-02   3.2150000e-01   3.0132200e+03   1.4356985e+03   2.1239000e+00   2.8610859e+03   1.4591584e+03   2.0562000e+00   2.1715000e+03
   4.0300000e-02   3.1860000e-01   3.0231555e+03   1.4348918e+03   2.1285000e+00   2.8725391e+03   1.4581730e+03   2.0611000e+00   2.1716250e+03
   3.4800000e-02   3.1820000e-01   3.0314958e+03   1.4369929e+03   2.1292000e+00   2.8827004e+03   1.4603782e+03   2.0615000e+00   2.1717500e+03
   3.3600000e-02   3.1890000e-01   3.0356121e+03   1.4366227e+03   2.1280000e+00   2.8885652e+03   1.4600966e+03   2.0601000e+00   2.1718750e+03
   3.5600000e-02   3.1950000e-01   3.0363423e+03   1.4324197e+03   2.1271000e+00   2.8906667e+03   1.4558387e+03   2.0592000e+00   2.1720000e+03
   3.8300000e-02   3.1890000e-01   3.0383108e+03   1.4308735e+03   2.1280000e+00   2.8934717e+03   1.4541641e+03   2.0603000e+00   2.1721250e+03
   4.2600000e-02   3.1640000e-01   3.0429756e+03   1.4278685e+03   2.1321000e+00   2.8991560e+03   1.4507826e+03   2.0653000e+00   2.1722500e+03
   5.0000000e-02   3.1150000e-01   3.0455940e+03   1.4116919e+03   2.1399000e+00   2.9031960e+03   1.4337460e+03   2.0746000e+00   2.1723750e+03
   6.4100000e-02   3.0560000e-01   3.0451726e+03   1.3918657e+03   2.1493000e+00   2.9037996e+03   1.4128115e+03   2.0861000e+00   2.1725000e+03
   8.4300000e-02   3.0120000e-01   3.0419199e+03   1.3848539e+03   2.1564000e+00   2.8999517e+03   1.4049171e+03   2.0953000e+00   2.1726250e+03
   1.0000000e-01   2.9990000e-01   3.0361409e+03   1.3728301e+03   2.1585000e+00   2.8948228e+03   1.3923132e+03   2.0985000e+00   2.1727500e+03
   1.0790000e-01   3.0230000e-01   3.0264988e+03   1.3584475e+03   2.1546000e+00   2.8860930e+03   1.3777908e+03   2.0946000e+00   2.1728750e+03
   1.1090000e-01   3.0780000e-01   3.0097102e+03   1.3539224e+03   2.1458000e+00   2.8675151e+03   1.3736234e+03   2.0847000e+00   2.1730000e+03
   1.1490000e-01   3.1480000e-01   2.9891926e+03   1.3561079e+03   2.1346000e+00   2.8437515e+03   1.3763793e+03   2.0722000e+00   2.1731250e+03
   1.2210000e-01   3.2080000e-01   2.9644453e+03   1.3495402e+03   2.1250000e+00   2.8154214e+03   1.3701052e+03   2.0617000e+00   2.1732500e+03
   1.3480000e-01   3.2360000e-01   2.9401575e+03   1.3426655e+03   2.1204000e+00   2.7866223e+03   1.3631416e+03   2.0572000e+00   2.1733750e+03
   1.5690000e-01   3.2270000e-01   2.9168523e+03   1.3294675e+03   2.1220000e+00   2.7590178e+03   1.3492523e+03   2.0602000e+00   2.1735000e+03
   1.8720000e-01   3.1910000e-01   2.8926121e+03   1.3119045e+03   2.1277000e+00   2.7303799e+03   1.3305728e+03   2.0685000e+00   2.1736250e+03
   2.1070000e-01   3.1430000e-01   2.8761118e+03   1.2980676e+03   2.1354000e+00   2.7103918e+03   1.3157220e+03   2.0785000e+00   2.1737500e+03
   2.4240000e-01   3.0710000e-01   2.8861101e+03   1.2988682e+03   2.1469000e+00   2.7236587e+03   1.3153834e+03   2.0934000e+00   2.1738750e+03
   2.8290000e-01   2.9510000e-01   2.9258740e+03   1.3196396e+03   2.1663000e+00   2.7726267e+03   1.3347163e+03   2.1176000e+00   2.1740000e+03
   2.7740000e-01   2.7810000e-01   2.9720771e+03   1.3488959e+03   2.1935000e+00   2.8211187e+03   1.3630343e+03   2.1482000e+00   2.1741250e+03
   2.6080000e-01   2.6090000e-01   2.9942771e+03   1.3667771e+03   2.2211000e+00   2.8372881e+03   1.3800261e+03   2.1786000e+00   2.1742500e+03
   2.4740000e-01   2.5150000e-01   3.0047666e+03   1.3802365e+03   2.2363000e+00   2.8421624e+03   1.3931041e+03   2.1952000e+00   2.1743750e+03
   2.3250000e-01   2.5510000e-01   3.0216958e+03   1.4111268e+03   2.2305000e+00   2.8596150e+03   1.4248488e+03   2.1877000e+00   2.1745000e+03
   2.0560000e-01   2.6790000e-01   3.0424478e+03   1.4458571e+03   2.2099000e+00   2.8852756e+03   1.4615070e+03   2.1628000e+00   2.1746250e+03
   1.8400000e-01   2.8240000e-01   3.0474346e+03   1.4622190e+03   2.1867000e+00   2.8945635e+03   1.4797310e+03   2.1352000e+00   2.1747500e+03
